"","subject","flnm","time_stamp","eye","point","offset_deg","diff"
"19",1,"C:/Data/WebEye/2.asc",2252680,"RIGHT",0,0.3,27240
"20",1,"C:/Data/WebEye/2.asc",2252680,"RIGHT",1,0.16,0
"21",1,"C:/Data/WebEye/2.asc",2252680,"RIGHT",2,0.37,0
"22",1,"C:/Data/WebEye/2.asc",2252680,"RIGHT",3,0.37,0
"23",1,"C:/Data/WebEye/2.asc",2252680,"RIGHT",4,0.85,0
"24",1,"C:/Data/WebEye/2.asc",2252680,"RIGHT",5,0.69,0
"25",1,"C:/Data/WebEye/2.asc",2252680,"RIGHT",6,0.7,0
"26",1,"C:/Data/WebEye/2.asc",2252680,"RIGHT",7,0.17,0
"27",1,"C:/Data/WebEye/2.asc",2252680,"RIGHT",8,0.67,0
"28",1,"C:/Data/WebEye/2.asc",2598911,"RIGHT",0,1.31,346231
"29",1,"C:/Data/WebEye/2.asc",2598911,"RIGHT",1,0.26,0
"30",1,"C:/Data/WebEye/2.asc",2598911,"RIGHT",2,0.47,0
"31",1,"C:/Data/WebEye/2.asc",2598911,"RIGHT",3,0.95,0
"32",1,"C:/Data/WebEye/2.asc",2598911,"RIGHT",4,0.86,0
"33",1,"C:/Data/WebEye/2.asc",2598911,"RIGHT",5,0.97,0
"34",1,"C:/Data/WebEye/2.asc",2598911,"RIGHT",6,0.54,0
"35",1,"C:/Data/WebEye/2.asc",2598911,"RIGHT",7,0.98,0
"36",1,"C:/Data/WebEye/2.asc",2598911,"RIGHT",8,0.11,0
"46",1,"C:/Data/WebEye/2.asc",2984490,"RIGHT",0,0.59,84060
"47",1,"C:/Data/WebEye/2.asc",2984490,"RIGHT",1,0.6,0
"48",1,"C:/Data/WebEye/2.asc",2984490,"RIGHT",2,0.5,0
"49",1,"C:/Data/WebEye/2.asc",2984490,"RIGHT",3,1.18,0
"50",1,"C:/Data/WebEye/2.asc",2984490,"RIGHT",4,0.67,0
"51",1,"C:/Data/WebEye/2.asc",2984490,"RIGHT",5,0.28,0
"52",1,"C:/Data/WebEye/2.asc",2984490,"RIGHT",6,0.83,0
"53",1,"C:/Data/WebEye/2.asc",2984490,"RIGHT",7,1.93,0
"54",1,"C:/Data/WebEye/2.asc",2984490,"RIGHT",8,1.15,0
"55",1,"C:/Data/WebEye/2.asc",3308180,"RIGHT",0,1.03,323690
"56",1,"C:/Data/WebEye/2.asc",3308180,"RIGHT",1,0.26,0
"57",1,"C:/Data/WebEye/2.asc",3308180,"RIGHT",2,0.25,0
"58",1,"C:/Data/WebEye/2.asc",3308180,"RIGHT",3,1.01,0
"59",1,"C:/Data/WebEye/2.asc",3308180,"RIGHT",4,0.94,0
"60",1,"C:/Data/WebEye/2.asc",3308180,"RIGHT",5,0.58,0
"61",1,"C:/Data/WebEye/2.asc",3308180,"RIGHT",6,0.6,0
"62",1,"C:/Data/WebEye/2.asc",3308180,"RIGHT",7,0.69,0
"63",1,"C:/Data/WebEye/2.asc",3308180,"RIGHT",8,0.83,0
"64",1,"C:/Data/WebEye/2.asc",3619842,"RIGHT",0,0.39,311662
"65",1,"C:/Data/WebEye/2.asc",3619842,"RIGHT",1,0.15,0
"66",1,"C:/Data/WebEye/2.asc",3619842,"RIGHT",2,0.42,0
"67",1,"C:/Data/WebEye/2.asc",3619842,"RIGHT",3,0.16,0
"68",1,"C:/Data/WebEye/2.asc",3619842,"RIGHT",4,0.13,0
"69",1,"C:/Data/WebEye/2.asc",3619842,"RIGHT",5,0.92,0
"70",1,"C:/Data/WebEye/2.asc",3619842,"RIGHT",6,0.42,0
"71",1,"C:/Data/WebEye/2.asc",3619842,"RIGHT",7,0.07,0
"72",1,"C:/Data/WebEye/2.asc",3619842,"RIGHT",8,0.37,0
"73",1,"C:/Data/WebEye/2.asc",3800252,"RIGHT",0,0.22,180410
"74",1,"C:/Data/WebEye/2.asc",3800252,"RIGHT",1,0.22,0
"75",1,"C:/Data/WebEye/2.asc",3800252,"RIGHT",2,0.3,0
"76",1,"C:/Data/WebEye/2.asc",3800252,"RIGHT",3,0.4,0
"77",1,"C:/Data/WebEye/2.asc",3800252,"RIGHT",4,0.23,0
"78",1,"C:/Data/WebEye/2.asc",3800252,"RIGHT",5,0.57,0
"79",1,"C:/Data/WebEye/2.asc",3800252,"RIGHT",6,1.12,0
"80",1,"C:/Data/WebEye/2.asc",3800252,"RIGHT",7,0.89,0
"81",1,"C:/Data/WebEye/2.asc",3800252,"RIGHT",8,0.66,0
"82",1,"C:/Data/WebEye/2.asc",4009611,"RIGHT",0,0.43,209359
"83",1,"C:/Data/WebEye/2.asc",4009611,"RIGHT",1,0.5,0
"84",1,"C:/Data/WebEye/2.asc",4009611,"RIGHT",2,0.39,0
"85",1,"C:/Data/WebEye/2.asc",4009611,"RIGHT",3,0.42,0
"86",1,"C:/Data/WebEye/2.asc",4009611,"RIGHT",4,0.62,0
"87",1,"C:/Data/WebEye/2.asc",4009611,"RIGHT",5,0.84,0
"88",1,"C:/Data/WebEye/2.asc",4009611,"RIGHT",6,0.37,0
"89",1,"C:/Data/WebEye/2.asc",4009611,"RIGHT",7,0.33,0
"90",1,"C:/Data/WebEye/2.asc",4009611,"RIGHT",8,0.5,0
"1",2,"C:/Data/WebEye/3.asc",7353963,"RIGHT",0,0.29,0
"2",2,"C:/Data/WebEye/3.asc",7353963,"RIGHT",1,0.09,0
"3",2,"C:/Data/WebEye/3.asc",7353963,"RIGHT",2,0.35,0
"4",2,"C:/Data/WebEye/3.asc",7353963,"RIGHT",3,0.2,0
"5",2,"C:/Data/WebEye/3.asc",7353963,"RIGHT",4,0.05,0
"6",2,"C:/Data/WebEye/3.asc",7353963,"RIGHT",5,0.36,0
"7",2,"C:/Data/WebEye/3.asc",7353963,"RIGHT",6,0.46,0
"8",2,"C:/Data/WebEye/3.asc",7353963,"RIGHT",7,0.3,0
"9",2,"C:/Data/WebEye/3.asc",7353963,"RIGHT",8,0.7,0
"10",2,"C:/Data/WebEye/3.asc",7640175,"RIGHT",0,0.18,286212
"11",2,"C:/Data/WebEye/3.asc",7640175,"RIGHT",1,0.57,0
"12",2,"C:/Data/WebEye/3.asc",7640175,"RIGHT",2,0.19,0
"13",2,"C:/Data/WebEye/3.asc",7640175,"RIGHT",3,0.15,0
"14",2,"C:/Data/WebEye/3.asc",7640175,"RIGHT",4,0.28,0
"15",2,"C:/Data/WebEye/3.asc",7640175,"RIGHT",5,0.28,0
"16",2,"C:/Data/WebEye/3.asc",7640175,"RIGHT",6,0.41,0
"17",2,"C:/Data/WebEye/3.asc",7640175,"RIGHT",7,0.41,0
"18",2,"C:/Data/WebEye/3.asc",7640175,"RIGHT",8,0.2,0
"191",2,"C:/Data/WebEye/3.asc",7835798,"RIGHT",0,0.72,195623
"201",2,"C:/Data/WebEye/3.asc",7835798,"RIGHT",1,0.8,0
"211",2,"C:/Data/WebEye/3.asc",7835798,"RIGHT",2,0.4,0
"221",2,"C:/Data/WebEye/3.asc",7835798,"RIGHT",3,0.4,0
