"","trial","start_time","end_time","label","duration","subject"
"1",1,12568962,12568998,"unclear",36,11
"2",1,12568999,12569141,"fixation",142,11
"3",1,12569142,12569197,"saccade",55,11
"4",1,12569198,12569214,"pso",16,11
"5",1,12569215,12569453,"fixation",238,11
"6",1,12569454,12569498,"saccade",44,11
"7",1,12569499,12569506,"pso",7,11
"8",1,12569507,12569659,"fixation",152,11
"9",1,12569660,12569706,"saccade",46,11
"10",1,12569707,12569719,"pso",12,11
"11",1,12569720,12569889,"fixation",169,11
"12",1,12569890,12569911,"saccade",21,11
"13",1,12569912,12569967,"pso",55,11
"14",1,12569968,12570125,"fixation",157,11
"15",1,12570126,12570177,"saccade",51,11
"16",1,12570178,12570197,"pso",19,11
"17",1,12570198,12570402,"fixation",204,11
"18",1,12570403,12570457,"saccade",54,11
"19",1,12570458,12570477,"pso",19,11
"20",1,12570478,12570681,"fixation",203,11
"21",1,12570682,12570708,"saccade",26,11
"22",2,12419411,12419579,"fixation",168,11
"23",2,12419580,12419624,"saccade",44,11
"24",2,12419625,12419648,"pso",23,11
"25",2,12419649,12420169,"fixation",520,11
"26",2,12420170,12420182,"saccade",12,11
"27",2,12420183,12420203,"pso",20,11
"28",2,12420204,12420302,"fixation",98,11
"29",2,12420303,12420341,"saccade",38,11
"30",2,12420342,12420567,"fixation",225,11
"31",2,12420568,12420611,"saccade",43,11
"32",2,12420612,12420630,"pso",18,11
"33",2,12420631,12421005,"fixation",374,11
"34",2,12421006,12421052,"saccade",46,11
"35",2,12421053,12421078,"pso",25,11
"36",2,12421079,12421276,"fixation",197,11
"37",2,12421277,12421292,"saccade",15,11
"38",2,12421293,12421329,"pso",36,11
"39",2,12421330,12421375,"fixation",45,11
"40",2,12421376,12421391,"fixation",15,11
"41",2,12421481,12421527,"unclear",46,11
"42",2,12421528,12421572,"fixation",44,11
"43",2,12421573,12421611,"saccade",38,11
"44",2,12421612,12421626,"pso",14,11
"45",2,12421627,12421785,"fixation",158,11
"46",2,12421786,12421832,"saccade",46,11
"47",2,12421833,12421844,"pso",11,11
"48",2,12421845,12422007,"fixation",162,11
"49",2,12422008,12422066,"saccade",58,11
"50",2,12422067,12422088,"pso",21,11
"51",2,12422089,12422522,"fixation",433,11
"52",2,12422523,12422574,"saccade",51,11
"53",2,12422575,12422595,"pso",20,11
"54",2,12422596,12422782,"fixation",186,11
"55",2,12422783,12422828,"saccade",45,11
"56",2,12422829,12422843,"pso",14,11
"57",2,12422844,12423030,"fixation",186,11
"58",2,12423031,12423083,"saccade",52,11
"59",2,12423084,12423102,"pso",18,11
"60",2,12423103,12423366,"fixation",263,11
"61",2,12423367,12423392,"unclear",25,11
"62",2,12423393,12423494,"fixation",101,11
"63",2,12423495,12423541,"saccade",46,11
"64",3,12535028,12535207,"fixation",179,11
"65",3,12535208,12535284,"saccade",76,11
"66",3,12535285,12535305,"pso",20,11
"67",3,12535306,12535587,"fixation",281,11
"68",3,12535588,12535634,"saccade",46,11
"69",3,12535635,12535653,"pso",18,11
"70",3,12535654,12535883,"fixation",229,11
"71",3,12535884,12535925,"saccade",41,11
"72",3,12535926,12535954,"pso",28,11
"73",3,12535955,12536189,"fixation",234,11
"74",3,12536190,12536223,"saccade",33,11
"75",3,12536224,12536246,"pso",22,11
"76",3,12536247,12536278,"fixation",31,11
"77",3,12536279,12536352,"saccade",73,11
"78",3,12536353,12536370,"pso",17,11
"79",3,12536371,12536506,"fixation",135,11
"80",3,12536507,12536521,"saccade",14,11
"81",3,12536522,12536538,"pso",16,11
"82",3,12536539,12537067,"fixation",528,11
"83",3,12537068,12537124,"saccade",56,11
"84",3,12537125,12537140,"pso",15,11
"85",3,12537141,12537197,"fixation",56,11
"86",4,12600377,12600671,"fixation",294,11
"87",4,12600672,12600908,"saccade",236,11
