trial,start_time,end_time,label,duration
1,10564446,10564600,fixation,154
1,10564601,10564649,saccade,48
1,10564650,10564676,pso,26
1,10564677,10564741,fixation,64
1,10564742,10564780,saccade,38
1,10564781,10564791,pso,10
1,10564792,10565379,fixation,587
1,10565380,10565441,saccade,61
1,10565546,10565597,saccade,51
1,10565598,10565613,pso,15
1,10565614,10565819,fixation,205
1,10565820,10565862,saccade,42
1,10565863,10565880,pso,17
1,10565881,10566023,fixation,142
1,10566024,10566064,saccade,40
1,10566065,10566078,pso,13
1,10566079,10566295,fixation,216
1,10566296,10566330,saccade,34
1,10566331,10566479,fixation,148
2,10394863,10394977,fixation,114
2,10394978,10395006,unclear,28
2,10395007,10395034,saccade,27
2,10395072,10395132,saccade,60
2,10395133,10395150,pso,17
2,10395151,10395242,fixation,91
2,10395243,10395260,saccade,17
2,10395261,10395279,pso,18
2,10395280,10395906,fixation,626
2,10395907,10395945,saccade,38
2,10395946,10395955,pso,9
2,10395956,10396019,fixation,63
2,10396020,10396047,unclear,27
2,10396048,10396061,saccade,13
2,10396161,10396203,saccade,42
2,10396204,10396213,pso,9
2,10396214,10396328,fixation,114
2,10396329,10396357,saccade,28
2,10396358,10396374,pso,16
2,10396375,10396529,fixation,154
2,10396530,10396557,saccade,27
2,10396558,10396773,fixation,215
2,10396774,10396815,saccade,41
2,10396816,10396831,pso,15
2,10396832,10396929,fixation,97
2,10396930,10396989,saccade,59
2,10396990,10397101,fixation,111
3,10467786,10467930,fixation,144
3,10467931,10467983,saccade,52
3,10468086,10468179,saccade,93
3,10468180,10468939,fixation,759
3,10468940,10468978,saccade,38
3,10468979,10469120,fixation,141
3,10469121,10469157,saccade,36
3,10469158,10469167,pso,9
3,10469168,10469290,fixation,122
3,10469291,10469315,unclear,24
3,10469316,10469333,saccade,17
3,10469474,10469537,saccade,63
3,10469538,10469845,fixation,307
4,10559303,10559415,fixation,112
4,10559416,10559472,saccade,56
4,10559509,10559570,saccade,61
4,10559571,10559592,pso,21
4,10559593,10559715,fixation,122
4,10559716,10559735,saccade,19
4,10559736,10559766,pso,30
4,10559767,10560025,fixation,258
4,10560026,10560042,saccade,16
4,10560043,10560057,pso,14
4,10560058,10560293,fixation,235
4,10560294,10560344,saccade,50
4,10560425,10560473,saccade,48
4,10560474,10560487,pso,13
4,10560488,10560591,fixation,103
4,10560592,10560619,saccade,27
4,10560620,10560646,pso,26
4,10560647,10560903,fixation,256
4,10560904,10560941,saccade,37
4,10560942,10560958,pso,16
4,10560959,10561127,fixation,168
5,10652178,10652321,fixation,143
5,10652322,10652455,saccade,133
5,10652456,10652477,pso,21
5,10652478,10652577,fixation,99
5,10652578,10652596,saccade,18
5,10652597,10652609,pso,12
5,10652610,10653092,fixation,482
5,10653093,10653133,saccade,40
5,10653134,10653162,pso,28
5,10653163,10653333,fixation,170
5,10653334,10653365,saccade,31
5,10653366,10653381,pso,15
5,10653382,10653549,fixation,167
5,10653550,10653589,saccade,39
5,10653590,10653601,pso,11
5,10653602,10653761,fixation,159
5,10653762,10653785,saccade,23
5,10653932,10654014,saccade,82
5,10654015,10654123,fixation,108
5,10654124,10654158,saccade,34
5,10654159,10654171,pso,12
5,10654172,10654338,fixation,166
5,10654339,10654353,saccade,14
5,10654354,10654365,pso,11
5,10654366,10654473,fixation,107
