Rec_Session_Id,Trial_Nr,Trial_Id,Task_Name,Condition_Id,Frequency,question_answer,trial_end,trial_number,trial_start,list,question_accuracy,sub
1238835,1,14,sentence_DC,1,,1,1739460909357,66,,A,1,11
1238835,1,20,sentence,1,high,1,1739459874035,6,1739459866897,A,1,11
1238835,2,15,sentence_DC,1,,0,1739460913977,67,,A,1,11
1238835,2,31,sentence,2,low,0,1739459884660,7,1739459879509,A,1,11
1238835,3,30,sentence_DC,2,,1,1739460917153,68,,A,1,11
1238835,3,55,sentence,2,low,1,1739459891515,8,1739459887037,A,1,11
1238835,4,7,sentence_DC,1,,1,1739460918906,69,,A,1,11
1238835,4,49,sentence,2,low,0,1739459900916,9,1739459894345,A,1,11
1238835,5,27,sentence,1,high,0,1739459908583,10,1739459903205,A,1,11
1238835,5,2,sentence_DC,1,,1,1739460926985,70,,A,1,11
1238835,6,57,sentence,2,low,0,1739459945667,11,1739459938309,A,1,11
1238835,6,28,sentence_DC,2,,1,1739460951065,71,,A,1,11
1238835,7,32,sentence_DC,2,,1,1739460955241,72,,A,1,11
1238835,7,41,sentence,2,low,1,1739459954093,12,1739459948895,A,1,11
1238835,8,56,sentence,2,low,1,1739459961955,13,1739459956876,A,1,11
1238835,8,34,sentence_DC,2,,1,1739460958641,73,,A,1,11
1238835,9,37,sentence_DC,2,,1,1739460961754,74,,A,1,11
1238835,9,5,sentence,1,high,0,1739459967779,14,1739459964040,A,1,11
1238835,10,5,sentence_DC,1,,1,1739460965810,75,,A,1,11
1238835,10,16,sentence,1,high,1,1739459975092,15,1739459970137,A,1,11
1238835,11,19,sentence_DC,1,,0,1739461029713,76,,A,1,11
1238835,11,23,sentence,1,high,1,1739460051667,16,1739460047173,A,1,11
1238835,12,24,sentence,1,high,0,1739460060244,17,1739460056198,A,1,11
1238835,12,23,sentence_DC,2,,1,1739461032729,77,,A,1,11
1238835,13,6,sentence_DC,1,,0,1739461037273,78,,A,1,11
1238835,13,22,sentence,1,high,1,1739460067851,18,1739460062429,A,1,11
1238835,14,3,sentence_DC,1,,0,1739461040641,79,,A,1,11
1238835,14,54,sentence,2,low,0,1739460076283,19,1739460070407,A,1,11
1238835,15,36,sentence_DC,2,,1,1739461043665,80,,A,1,11
1238835,15,9,sentence,1,high,0,1739460083787,20,1739460078148,A,1,11
1238835,16,10,sentence_DC,1,,0,1739461070681,81,,A,1,11
1238835,16,30,sentence,1,high,0,1739460116035,21,1739460110275,A,1,11
1238835,17,34,sentence,2,low,1,1739460121619,22,1739460118516,A,1,11
1238835,17,1,sentence_DC,1,,0,1739461074153,82,,A,1,11
1238835,18,29,sentence,1,high,0,1739460127475,23,1739460124398,A,1,11
1238835,18,21,sentence_DC,2,,0,1739461078553,83,,A,1,11
1238835,19,35,sentence_DC,2,,0,1739461081393,84,,A,1,11
1238835,19,44,sentence,2,low,1,1739460134907,24,1739460130213,A,1,11
1238835,20,13,sentence,1,high,1,1739460146683,25,1739460137721,A,1,11
1238835,20,11,sentence_DC,1,,0,1739461085065,85,,A,1,11
1238835,21,36,sentence,2,low,1,1739460172139,26,1739460167336,A,1,11
1238835,21,4,sentence_DC,1,,1,1739461106649,86,,A,1,11
1238835,22,39,sentence,2,low,1,1739460178659,27,1739460174558,A,1,11
1238835,22,38,sentence_DC,2,,1,1739461109697,87,,A,0,11
1238835,23,22,sentence_DC,2,,1,1739461112953,88,,A,1,11
1238835,23,32,sentence,2,low,0,1739460184675,28,1739460181316,A,1,11
1238835,24,53,sentence,2,low,1,1739460195067,29,1739460187182,A,1,11
1238835,24,13,sentence_DC,1,,0,1739461117049,89,,A,1,11
