"","X","trial","start_time","end_time","label","duration","subject"
"2",2,1,12568999,12569141,"fixation",142,11
"5",5,1,12569215,12569453,"fixation",238,11
"8",8,1,12569507,12569659,"fixation",152,11
"11",11,1,12569720,12569889,"fixation",169,11
"14",14,1,12569968,12570125,"fixation",157,11
"17",17,1,12570198,12570402,"fixation",204,11
"20",20,1,12570478,12570681,"fixation",203,11
"22",22,2,12419411,12419579,"fixation",168,11
"25",25,2,12419649,12420169,"fixation",520,11
"28",28,2,12420204,12420302,"fixation",98,11
"30",30,2,12420342,12420567,"fixation",225,11
"33",33,2,12420631,12421005,"fixation",374,11
"36",36,2,12421079,12421276,"fixation",197,11
"39",39,2,12421330,12421375,"fixation",45,11
"40",40,2,12421376,12421391,"fixation",15,11
"42",42,2,12421528,12421572,"fixation",44,11
"45",45,2,12421627,12421785,"fixation",158,11
"48",48,2,12421845,12422007,"fixation",162,11
"51",51,2,12422089,12422522,"fixation",433,11
"54",54,2,12422596,12422782,"fixation",186,11
"57",57,2,12422844,12423030,"fixation",186,11
"60",60,2,12423103,12423366,"fixation",263,11
"62",62,2,12423393,12423494,"fixation",101,11
"64",64,3,12535028,12535207,"fixation",179,11
"67",67,3,12535306,12535587,"fixation",281,11
"70",70,3,12535654,12535883,"fixation",229,11
"73",73,3,12535955,12536189,"fixation",234,11
"76",76,3,12536247,12536278,"fixation",31,11
"79",79,3,12536371,12536506,"fixation",135,11
"82",82,3,12536539,12537067,"fixation",528,11
"85",85,3,12537141,12537197,"fixation",56,11
"86",86,4,12600377,12600671,"fixation",294,11
"89",89,4,12600924,12601021,"fixation",97,11
"92",92,4,12601068,12601249,"fixation",181,11
"95",95,4,12601331,12601421,"fixation",90,11
"98",98,4,12601478,12601634,"fixation",156,11
"101",101,4,12601708,12601781,"fixation",73,11
"105",105,4,12602052,12602192,"fixation",140,11
"109",109,4,12602411,12602673,"fixation",262,11
"112",112,4,12602743,12602868,"fixation",125,11
"115",115,4,12602940,12603142,"fixation",202,11
"118",118,5,12459939,12460141,"fixation",202,11
"121",121,5,12460220,12460467,"fixation",247,11
"124",124,5,12460542,12460852.5,"fixation",310.5,11
"127",127,5,12460906,12461078,"fixation",172,11
"130",130,5,12461160,12461343,"fixation",183,11
"133",133,5,12461409,12461493,"fixation",84,11
"137",137,5,12461668,12461773,"fixation",105,11
"140",140,5,12461869,12462120,"fixation",251,11
"143",143,5,12462197,12462316,"fixation",119,11
"145",145,6,12531060,12531351,"fixation",291,11
"149",149,6,12531566,12531687,"fixation",121,11
"152",152,6,12531755,12531889,"fixation",134,11
"155",155,6,12531937,12532222,"fixation",285,11
"158",158,6,12532282,12532438,"fixation",156,11
"161",161,6,12532470,12532495,"fixation",25,11
"166",166,6,12532733,12532935,"fixation",202,11
"168",168,6,12532990,12533207,"fixation",217,11
"170",170,6,12533251,12533383,"fixation",132,11
"172",172,6,12533421,12533503,"fixation",82,11
"175",175,6,12533586,12533718,"fixation",132,11
"178",178,7,12415001,12415160,"fixation",159,11
"181",181,7,12415234,12415404,"fixation",170,11
"183",183,8,12815376,12815674,"fixation",298,11
"186",186,8,12815743,12815877,"fixation",134,11
"189",189,8,12815948,12816139,"fixation",191,11
"192",192,8,12816238,12816505,"fixation",267,11
"195",195,8,12816577,12816624,"fixation",47,11
"200",200,8,12816961,12817004,"fixation",43,11
"203",203,8,12817074,12817262,"fixation",188,11
"206",206,8,12817338,12817434,"fixation",96,11
"209",209,8,12817492,12817655,"fixation",163,11
"212",212,8,12817709,12817847,"fixation",138,11
"215",215,9,12810824,12811197,"fixation",373,11
"218",218,9,12811363,12811437,"fixation",74,11
"221",221,9,12811480,12811598,"fixation",118,11
"226",226,9,12811865,12811916,"fixation",51,11
"229",229,9,12811981,12812061,"fixation",80,11
"232",232,9,12812152,12812344,"fixation",192,11
"235",235,9,12812395,12812503,"fixation",108,11
"239",239,9,12812819,12812966,"fixation",147,11
"242",242,9,12813046,12813156,"fixation",110,11
"245",245,9,12813222,12813288,"fixation",66,11
"246",246,10,12563627,12563893,"fixation",266,11
"248",248,10,12564184,12564290,"fixation",106,11
"251",251,10,12564361,12564665,"fixation",304,11
"254",254,10,12564908,12564994,"fixation",86,11
"256",256,10,12565051,12565281,"fixation",230,11
"259",259,10,12565329,12565425,"fixation",96,11
"262",262,10,12565511,12565645,"fixation",134,11
"266",266,10,12565968,12566046,"fixation",78,11
"268",268,10,12566087,12566284,"fixation",197,11
"271",271,10,12566391,12566497,"fixation",106,11
"274",274,10,12566548,12566630,"fixation",82,11
"277",277,10,12566720,12566939,"fixation",219,11
"280",280,10,12567043,12567238,"fixation",195,11
"281",281,11,12579366,12579516,"fixation",150,11
"284",284,11,12579597,12579784,"fixation",187,11
"287",287,11,12579865,12580010,"fixation",145,11
"290",290,11,12580076,12580154,"fixation",78,11
"293",293,11,12580211,12580381,"fixation",170,11
"296",296,11,12580473,12580644,"fixation",171,11
"299",299,11,12580703,12580915,"fixation",212,11
"302",302,11,12580995,12581059,"fixation",64,11
"305",305,11,12581111,12581243,"fixation",132,11
"311",311,11,12581461,12581622,"fixation",161,11
"312",312,12,12788729,12788884,"fixation",155,11
"314",314,12,12788940,12789268,"fixation",328,11
"319",319,12,12789382,12789560,"fixation",178,11
"322",322,12,12789610,12789755,"fixation",145,11
"325",325,12,12789825,12789947,"fixation",122,11
"328",328,12,12790054,12790194,"fixation",140,11
"329",329,13,12611725,12611933,"fixation",208,11
"333",333,13,12612176,12612361,"fixation",185,11
"336",336,13,12612419,12612620,"fixation",201,11
"339",339,13,12612673,12612809,"fixation",136,11
"342",342,13,12612860,12612951,"fixation",91,11
"345",345,13,12613027,12613143,"fixation",116,11
"348",348,13,12613200,12613332,"fixation",132,11
