method,smoothing,parameter,RMSE_n_saccades,RMSE_mean_sacc_dur,RMSE_sd_sacc_dur,mean_error_n_saccades,mean_error_mean_sacc_dur,mean_error_sd_sacc_dur
EK03,mean,lambda_3,1.8591155638129795,155.57344005921595,71.85572458233912,-0.9223300970873771,33.15369685635789,9.910037459462009
EK03,mean,lambda_2,2.0936798097204523,161.62714245654794,81.16208077156983,0.48058252427184395,48.768559385844085,28.78068965673589
EK03,mean,lambda_4,2.573200191065783,153.60135330418493,69.15805494459443,-1.8155339805825248,22.274958565537297,0.9807674770787358
EK03,mean,lambda_5,3.3580796639040895,153.14619402827563,60.71416489754163,-2.6262135922330074,13.56696994351006,-4.735455461530004
EK03,mean,lambda_6,4.045253721326129,153.01008229015716,61.55871638432565,-3.2864077669902896,7.804958824947926,-7.805148146006644
EK03,mean,lambda_7,4.491091505705638,154.9308936099628,61.96853692848448,-3.7718446601941733,1.9245804981994132,-11.227935348666888
EK03,mean,lambda_8,4.999514539539608,158.6101028654348,65.29098871484169,-4.276699029126217,-2.431448396156803,-14.35924988048629
EK03,mean,lambda_9,5.407204830378623,163.44732945964068,69.13343211642332,-4.733009708737862,-6.51420788741786,-15.647420587660397
EK03,mean,lambda_10,5.802577264683455,169.87680516273085,73.5409598016097,-5.165048543689319,-10.495838372882131,-19.512271656257212
EK03,mean,lambda_11,6.0671805323107435,177.69450734988266,27.484405481989064,-5.432038834951456,-13.737245891605513,-13.100789338076217
EK03,mean,lambda_12,6.333759140855368,187.3400675300728,27.672508453235928,-5.737864077669905,-16.8219994956286,-13.530882667846049
EK03,mean,lambda_13,6.505039122140815,32.45937593316398,27.01887150393787,-5.9563106796116525,-1.0206031103626616,-12.161137573262002
EK03,mean,lambda_14,6.6751968081236726,32.28467729982464,26.59708820955961,-6.150485436893203,-1.0459346465009274,-12.26226408671551
EK03,mean,lambda_15,6.795201047912665,17.176923325981917,31.014502940426095,-6.300970873786405,1.9839848475541315,-14.353406273497008
EK03,median,lambda_3,1.747397510085335,155.32915612962245,71.08516583321467,-0.6165048543689309,29.46073527222534,8.893497276981511
EK03,median,lambda_2,2.4095280124369687,158.89236278823125,80.70230744611727,1.019417475728156,40.9108661629952,25.74506365221236
EK03,median,lambda_4,2.445522955171726,153.34097736466927,69.9465094595077,-1.5728155339805823,18.79993093156442,1.0136002654551493
EK03,median,lambda_5,3.223096262068993,150.26507880144982,67.1005838249696,-2.359223300970876,11.513430176279325,-6.946534695546482
EK03,median,lambda_6,3.795756445070106,148.79146450638353,69.22145803984742,-2.951456310679609,6.288330066489425,-9.811876642145979
EK03,median,lambda_7,4.247786402396941,154.11921350806693,70.36663385651856,-3.461165048543688,2.6060555052653434,-11.979569543549914
EK03,median,lambda_8,4.6320957114044665,157.12502441723467,63.40706185679959,-3.8543689320388332,-1.8111828064174142,-11.03609818185219
EK03,median,lambda_9,5.013089662190878,160.33504077910266,29.609583768975966,-4.266990291262138,-5.907462072998989,-7.956930111955008
EK03,median,lambda_10,5.408551301824363,165.11352058381095,31.30867699108075,-4.669902912621362,-8.901753779083196,-9.228505844941552
EK03,median,lambda_11,5.701728574552114,169.6225150736725,31.142480014524956,-4.975728155339804,-11.906054064592372,-12.452057161900939
EK03,median,lambda_12,5.968363194654041,177.05457387633433,28.92568287061977,-5.291262135922333,-13.805314054326526,-11.643241553395798
EK03,median,lambda_13,6.20248932174879,183.24091008758765,28.54386570892354,-5.567961165048544,-15.574705442775556,-12.062097208080361
EK03,median,lambda_14,6.389463413968861,194.25787911958935,29.03113690913229,-5.78640776699029,-17.971282325353865,-15.426586247122339
EK03,median,lambda_15,6.499066400466295,201.72918783840328,30.284420958720368,-5.927184466019419,-21.026461944576045,-15.063179798936728
EK03,raw,lambda_3,1.8314936341791728,154.6131596764963,70.81038866052229,-0.6553398058252429,25.00128190421069,6.916252999948619
EK03,raw,lambda_2,2.51017347483922,155.92149459994909,76.75662180740069,1.281553398058253,34.500285017543334,22.38524946351484
EK03,raw,lambda_4,2.5313567489177173,151.56065126887756,67.43723494137303,-1.6019417475728177,12.977750742114887,-4.066187326434302
EK03,raw,lambda_5,3.40829940797004,149.4730398724951,61.65316459702663,-2.4902912621359206,7.844248127041348,-5.376246686219696
EK03,raw,lambda_6,3.927127461273362,153.4377420355813,62.58145348730099,-3.0922330097087394,2.601635173432387,-9.270056115013535
EK03,raw,lambda_7,4.428504316971687,156.0122036036546,63.568401726902984,-3.6504854368932027,-1.425749527488411,-11.89024147763796
EK03,raw,lambda_8,4.804427569632478,158.3146678601211,65.37914149031666,-4.053398058252428,-5.662215019971685,-12.597962214712764
