"","el_time","x","y","pupil","Unix_time","subject","item","task"
"1",10250930,1346,1020.9,709,1745424299100,14,16,"sentence_DC"
"2",10250931,1346.1,1020.3,709,1745424299101,14,16,"sentence_DC"
"3",10250932,1346.5,1019.6,710,1745424299102,14,16,"sentence_DC"
"4",10250933,1346.8,1018.8,710,1745424299103,14,16,"sentence_DC"
"5",10250934,1347.1,1018.7,710,1745424299104,14,16,"sentence_DC"
"6",10250935,1347.3,1018.5,710,1745424299105,14,16,"sentence_DC"
"7",10250936,1347.5,1018.5,709,1745424299106,14,16,"sentence_DC"
"8",10250937,1347.5,1018.5,709,1745424299107,14,16,"sentence_DC"
"9",10250938,1347.2,1018.5,709,1745424299108,14,16,"sentence_DC"
"10",10250939,1346.9,1018.6,710,1745424299109,14,16,"sentence_DC"
"11",10250940,1346.6,1018.7,710,1745424299110,14,16,"sentence_DC"
"12",10250941,1346.3,1018.4,710,1745424299111,14,16,"sentence_DC"
"13",10250942,1346.2,1018,710,1745424299112,14,16,"sentence_DC"
"14",10250943,1346.6,1017.8,710,1745424299113,14,16,"sentence_DC"
"15",10250944,1347,1018.4,709,1745424299114,14,16,"sentence_DC"
"16",10250945,1347.3,1019,709,1745424299115,14,16,"sentence_DC"
"17",10250946,1347.1,1019.3,709,1745424299116,14,16,"sentence_DC"
"18",10250947,1346.9,1019.3,710,1745424299117,14,16,"sentence_DC"
"19",10250948,1346.7,1018.9,711,1745424299118,14,16,"sentence_DC"
"20",10250949,1346.7,1018.3,711,1745424299119,14,16,"sentence_DC"
"21",10250950,1346.6,1017.7,711,1745424299120,14,16,"sentence_DC"
"22",10250951,1346.6,1017.6,711,1745424299121,14,16,"sentence_DC"
"23",10250952,1346.6,1017.5,711,1745424299122,14,16,"sentence_DC"
"24",10250953,1346.7,1017.4,711,1745424299123,14,16,"sentence_DC"
"25",10250954,1346.7,1017.6,711,1745424299124,14,16,"sentence_DC"
"26",10250955,1346.5,1018,711,1745424299125,14,16,"sentence_DC"
"27",10250956,1346.1,1017.9,712,1745424299126,14,16,"sentence_DC"
"28",10250957,1345.8,1017.5,713,1745424299127,14,16,"sentence_DC"
"29",10250958,1345.7,1016.8,713,1745424299128,14,16,"sentence_DC"
"30",10250959,1345.8,1016.4,713,1745424299129,14,16,"sentence_DC"
"31",10250960,1345.8,1015.9,714,1745424299130,14,16,"sentence_DC"
"32",10250961,1345.9,1015.8,715,1745424299131,14,16,"sentence_DC"
"33",10250962,1345.9,1015.7,715,1745424299132,14,16,"sentence_DC"
"34",10250963,1345.9,1015.9,716,1745424299133,14,16,"sentence_DC"
"35",10250964,1345.8,1015.9,716,1745424299134,14,16,"sentence_DC"
"36",10250965,1345.7,1015.9,716,1745424299135,14,16,"sentence_DC"
"37",10250966,1345.7,1016,715,1745424299136,14,16,"sentence_DC"
"38",10250967,1345.7,1016.2,715,1745424299137,14,16,"sentence_DC"
"39",10250968,1345.7,1016.2,716,1745424299138,14,16,"sentence_DC"
"40",10250969,1345.5,1016.1,717,1745424299139,14,16,"sentence_DC"
"41",10250970,1345.4,1016,717,1745424299140,14,16,"sentence_DC"
"42",10250971,1345.4,1015.7,717,1745424299141,14,16,"sentence_DC"
"43",10250972,1345.6,1015.5,717,1745424299142,14,16,"sentence_DC"
"44",10250973,1345.7,1015.4,718,1745424299143,14,16,"sentence_DC"
"45",10250974,1345.6,1015.8,718,1745424299144,14,16,"sentence_DC"
"46",10250975,1345.4,1016,718,1745424299145,14,16,"sentence_DC"
"47",10250976,1345.2,1016.3,718,1745424299146,14,16,"sentence_DC"
"48",10250977,1345.1,1016.1,718,1745424299147,14,16,"sentence_DC"
"49",10250978,1345,1015.9,717,1745424299148,14,16,"sentence_DC"
"50",10250979,1345.1,1015.7,716,1745424299149,14,16,"sentence_DC"
"51",10250980,1345.2,1015.7,716,1745424299150,14,16,"sentence_DC"
"52",10250981,1345.3,1015.7,716,1745424299151,14,16,"sentence_DC"
"53",10250982,1345.3,1015.7,717,1745424299152,14,16,"sentence_DC"
"54",10250983,1345.3,1015.7,718,1745424299153,14,16,"sentence_DC"
"55",10250984,1345.2,1015.6,718,1745424299154,14,16,"sentence_DC"
"56",10250985,1345.2,1015.8,718,1745424299155,14,16,"sentence_DC"
"57",10250986,1345.1,1015.9,718,1745424299156,14,16,"sentence_DC"
"58",10250987,1344.9,1015.9,718,1745424299157,14,16,"sentence_DC"
"59",10250988,1345.1,1015.8,718,1745424299158,14,16,"sentence_DC"
"60",10250989,1345.4,1015.8,717,1745424299159,14,16,"sentence_DC"
"61",10250990,1345.8,1016,718,1745424299160,14,16,"sentence_DC"
"62",10250991,1345.7,1016.1,719,1745424299161,14,16,"sentence_DC"
"63",10250992,1345.6,1016.1,721,1745424299162,14,16,"sentence_DC"
"64",10250993,1345.4,1016.9,721,1745424299163,14,16,"sentence_DC"
"65",10250994,1345.2,1017.9,722,1745424299164,14,16,"sentence_DC"
"66",10250995,1345.1,1018.8,722,1745424299165,14,16,"sentence_DC"
"67",10250996,1345.3,1018.9,722,1745424299166,14,16,"sentence_DC"
"68",10250997,1345.5,1018.9,722,1745424299167,14,16,"sentence_DC"
"69",10250998,1345.7,1018.8,721,1745424299168,14,16,"sentence_DC"
"70",10250999,1346.1,1018.2,721,1745424299169,14,16,"sentence_DC"
"71",10251000,1346.4,1017.5,720,1745424299170,14,16,"sentence_DC"
"72",10251001,1346.5,1016.6,719,1745424299171,14,16,"sentence_DC"
"73",10251002,1346.3,1016.3,718,1745424299172,14,16,"sentence_DC"
"74",10251003,1346.2,1016,718,1745424299173,14,16,"sentence_DC"
"75",10251004,1346.3,1016,718,1745424299174,14,16,"sentence_DC"
"76",10251005,1346.6,1016.3,719,1745424299175,14,16,"sentence_DC"
"77",10251006,1346.8,1016.7,719,1745424299176,14,16,"sentence_DC"
"78",10251007,1347,1016.9,719,1745424299177,14,16,"sentence_DC"
"79",10251008,1347.2,1016.9,717,1745424299178,14,16,"sentence_DC"
"80",10251009,1347.5,1016.9,716,1745424299179,14,16,"sentence_DC"
"81",10251010,1347.6,1017,716,1745424299180,14,16,"sentence_DC"
"82",10251011,1347.5,1017.2,716,1745424299181,14,16,"sentence_DC"
"83",10251012,1347.4,1017.3,717,1745424299182,14,16,"sentence_DC"
"84",10251013,1347.2,1017.1,715,1745424299183,14,16,"sentence_DC"
"85",10251014,1347.3,1016.8,714,1745424299184,14,16,"sentence_DC"
"86",10251015,1347.4,1016.6,713,1745424299185,14,16,"sentence_DC"
"87",10251016,1347.3,1016.6,712,1745424299186,14,16,"sentence_DC"
"88",10251017,1347,1016.6,712,1745424299187,14,16,"sentence_DC"
"89",10251018,1346.7,1016.5,713,1745424299188,14,16,"sentence_DC"
"90",10251019,1346.5,1016.3,714,1745424299189,14,16,"sentence_DC"
"91",10251020,1346.3,1016,714,1745424299190,14,16,"sentence_DC"
